JulianDay;LAI;Biomass
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0.000139;0
34;0.000959;0.001547
35;0.001963;0.012523
36;0.002647;0.037368
37;0.003523;0.057563
38;0.004676;0.092369
39;0.005271;0.152326
40;0.005625;0.215332
41;0.00612;0.290351
42;0.006958;0.368779
43;0.00747;0.46034
44;0.007578;0.541803
45;0.007578;0.638875
46;0.007826;0.666422
47;0.007826;0.675904
48;0.007826;0.766668
49;0.007851;0.857431
50;0.008065;0.875097
51;0.008065;0.891847
52;0.008065;0.943494
53;0.008065;1.028643
54;0.008065;1.123562
55;0.008065;1.224064
56;0.00812;1.331546
57;0.008188;1.421494
58;0.008188;1.478179
59;0.008188;1.587299
60;0.008368;1.709173
61;0.008536;1.838059
62;0.009459;1.928169
63;0.010074;2.027992
64;0.010845;2.130799
65;0.011443;2.230196
66;0.01196;2.339001
67;0.012407;2.454774
68;0.013051;2.647771
69;0.013729;2.871027
70;0.015192;2.918464
71;0.016509;2.944698
72;0.017709;3.033034
73;0.018776;3.283575
74;0.020604;3.639791
75;0.023;4.019798
76;0.024915;4.463469
77;0.02756;4.888035
78;0.02986;5.030229
79;0.031695;5.281669
80;0.033524;5.357878
81;0.035769;6.019608
82;0.037672;6.669922
83;0.039092;7.32859
84;0.040004;8.172509
85;0.04077;9.008458
86;0.041103;9.818313
87;0.04113;10.529129
88;0.041546;10.768567
89;0.041734;11.117078
90;0.043001;11.367129
91;0.04439;12.338395
92;0.046543;13.181147
93;0.049831;13.77777
94;0.05294;14.492435
95;0.056673;15.052266
96;0.0617;16.249425
97;0.066699;17.708057
98;0.06939;18.240358
99;0.071532;19.711879
100;0.074302;21.324788
101;0.076471;23.313275
102;0.07829;24.827681
103;0.081227;25.582568
104;0.084113;25.870844
105;0.087619;26.311104
106;0.090418;28.261663
107;0.094191;29.419536
108;0.097984;30.751061
109;0.100224;31.936869
110;0.103556;34.226291
111;0.107158;37.214768
112;0.110857;40.267675
113;0.114376;43.403624
114;0.118497;46.635443
115;0.121912;49.524162
116;0.124004;52.797859
117;0.128243;54.223985
118;0.133507;58.450456
119;0.14028;62.820756
120;0.147976;66.867793
121;0.15594;68.752294
122;0.162545;71.453432
123;0.171952;73.968667
124;0.177753;75.407935
125;0.18286;80.591067
126;0.18888;87.110609
127;0.195925;93.831802
128;0.2035;100.564598
129;0.213904;104.432888
130;0.224705;104.709985
131;0.236874;110.656741
132;0.250341;113.893218
133;0.264514;122.18742
134;0.279255;125.854167
135;0.293908;126.562764
136;0.308713;127.583451
137;0.324827;137.866308
138;0.341116;149.95111
139;0.355017;160.985366
140;0.371052;174.288068
141;0.389823;187.835859
142;0.409754;201.627168
143;0.43118;215.596844
144;0.454312;230.655232
145;0.484001;245.998337
146;0.512124;258.379009
147;0.542753;265.778265
148;0.574803;285.911676
149;0.605193;305.362388
150;0.636426;326.865505
151;0.672544;345.470479
152;0.712261;361.329378
153;0.760206;385.036027
154;0.805819;410.806928
155;0.852191;426.670527
156;0.908355;446.163388
157;0.95889;471.825653
158;1.014979;502.840423
159;1.063378;534.749269
160;1.096025;555.085606
161;1.139073;581.956306
162;1.189056;615.528504
163;1.243989;653.803103
164;1.317996;694.110997
165;1.392355;735.32136
166;1.468267;777.009692
167;1.560203;809.744416
168;1.64903;852.481651
169;1.733387;889.402829
170;1.818909;933.458252
171;1.89703;984.736945
172;1.983521;1018.850188
173;2.058909;1069.718529
174;2.155735;1079.72294
175;2.266704;1100.964476
176;2.378527;1138.464433
177;2.488666;1180.923438
178;2.604987;1242.279195
179;2.733058;1305.815941
180;2.89038;1359.009323
181;3.077876;1416.847263
182;3.263522;1480.233869
183;3.476991;1535.153871
184;3.707558;1592.22102
185;3.948034;1654.067677
186;4.212676;1705.271282
187;4.523968;1777.985017
188;4.831214;1846.077919
189;5.187995;1915.608246
190;5.503313;1988.850755
191;5.876053;2025.192934
192;6.277454;2072.646133
193;6.697077;2145.356974
194;7.116888;2217.050556
195;7.428598;2242.508024
196;7.576327;2308.761518
197;7.577125;2372.957681
198;7.494748;2432.418282
199;7.380666;2500.008583
200;7.257051;2573.342493
201;7.118396;2626.138729
202;6.992682;2693.326083
203;6.888408;2751.280205
204;6.783974;2820.197723
205;6.662867;2893.250481
206;6.533604;2970.678365
207;6.396012;3003.077425
208;6.244103;3076.661557
209;6.07311;3154.295466
210;5.879738;3232.812664
211;5.671107;3309.052954
212;5.452893;3385.050785
213;5.212096;3461.271962
214;5.014511;3480.23309
215;4.740553;3556.996067
216;4.464205;3630.134906
217;4.159251;3700.586925
218;3.82802;3767.431386
219;3.45096;3822.430992
220;3.06887;3880.097939
221;2.669898;3942.509106
222;2.229314;4002.693187
223;1.76916;4052.329969
224;1.33393;4083.234204
225;0.886038;4100.368013
226;0.420664;4122.765753
227;0;4141.078385
228;0;4141.078385
229;0;4141.078385
230;0;4141.078385
231;0;4141.078385
232;0;4141.078385
